scene,sample_id,json_file,vlm_scene_description,vlm_object_description,gt_object_labels,Lukelo Hallucinations,Lukelo Safety relevance,Lukelo Overall quality,Duoaa Hallucinations,Duoaa Safety relevance,Duoaa Overall quality
scene-0553,8,scene-0553_sample_8.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information from the previous 5 seconds of camera footage. Here is the description:
 
 1. **Traffic Lights**: The traffic lights are currently red, indicating that vehicles must stop at the intersection.
 
 2. **Other Cars**:
 - A black car is stopped at the intersection, waiting for the light to change.
 - Another car is visible in the distance, also stopped at the intersection.
 
 3. **Pedestrians**:
 - Two pedestrians are crossing the street. One is pulling a red cart, and the other is walking","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Pedestrians**: There are two pedestrians crossing the street in the foreground. They are located near the crosswalk, which is important because they are in a vulnerable position and may not be easily visible to drivers. It is crucial to slow down and be prepared to stop if necessary to avoid a collision.
 
 2. **Vehicles**: There is a black car stopped at the intersection, and another car is approaching from the right side. These vehicles are important to monitor because they may change lanes or make turns, which could affect your driving path.","['human.pedestrian.adult', 'movable_object.barrier', 'movable_object.pushable_pullable', 'vehicle.bicycle', 'vehicle.bus.rigid', 'vehicle.car', 'vehicle.trailer', 'vehicle.truck']",4,4,4,4,4,4
scene-0553,12,scene-0553_sample_12.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information from the front-view camera images taken at a 0.5-second interval over the past 5 seconds.
 
 ### Current Scene:
 1. **Traffic Lights:**
 - The traffic light in the image is red, indicating that vehicles must stop at the intersection.
 
 2. **Other Cars:**
 - There is a silver car on the left side of the intersection, moving in the same direction as the viewer.
 - Another car is visible on the right side of the intersection, also moving in the same direction as the viewer","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Pedestrians crossing the street**:
 - **Location**: The crosswalk in the foreground.
 - **Description**: There are pedestrians crossing the street, including one person pulling a cart. It is important to slow down and be prepared to stop if necessary to avoid a collision.
 - **Reason**: Pedestrians have the right of way at crosswalks, and failing to yield can result in accidents.
 
 2. **Vehicles at the intersection**:
 - **Location**: The intersection in the background.
 - **","['human.pedestrian.adult', 'movable_object.barrier', 'movable_object.pushable_pullable', 'vehicle.bicycle', 'vehicle.bus.rigid', 'vehicle.car', 'vehicle.trailer', 'vehicle.truck']",4,2,3,4,4,4
scene-0553,16,scene-0553_sample_16.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information from the front-view camera images taken at a 0.5 second interval over the past 5 seconds.
 
 ### Current Scene:
 1. **Traffic Lights:**
 - The traffic light in the image is red, indicating that vehicles must stop at the intersection.
 
 2. **Movements of Other Cars:**
 - There are no other vehicles visible in the immediate vicinity of the car.
 
 3. **Pedestrians:**
 - Several pedestrians are crossing the street at a crosswalk. They are walking in various directions,","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Pedestrians crossing the street**:
 - **Location**: The crosswalk in the foreground.
 - **Description**: Pedestrians are crossing the street at a crosswalk. It is important to slow down and stop if necessary to allow them to cross safely.
 - **Reason**: Pedestrians have the right of way at crosswalks, and failing to yield can lead to accidents.
 
 2. **Vehicles stopped at the traffic light**:
 - **Location**: The intersection with the traffic lights.
 - **","['human.pedestrian.adult', 'movable_object.barrier', 'movable_object.pushable_pullable', 'vehicle.bicycle', 'vehicle.bus.rigid', 'vehicle.car', 'vehicle.trailer', 'vehicle.truck']",4,3,4,4,4,4
scene-0655,0,scene-0655_sample_0.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Description of the Driving Scene:
 
 1. **Traffic Lights:**
 - There are no visible traffic lights in the image.
 
 2. **Movements of Other Cars:**
 - The image shows a few cars on the road. The cars are moving in the same direction as the viewer's vehicle.
 - The cars are maintaining a safe distance from each other, indicating normal traffic flow.
 
 3. **Pedestrians:**
 -","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Pedestrians**: There is a pedestrian walking on the sidewalk on the right side of the image. Pedestrians are important to watch out for because they can suddenly cross the street, especially near crosswalks. This pedestrian is located near the center of the image, walking on the sidewalk.
 
 2. **Bicyclists**: There are no visible bicyclists in the image, but it's always important to be aware of cyclists, especially in urban areas. Cyclists can be unpredictable and may suddenly change direction. If there were","['human.pedestrian.adult', 'vehicle.bus.bendy', 'vehicle.car', 'vehicle.construction', 'vehicle.truck']",2,2,3,4,3,4
scene-0655,4,scene-0655_sample_4.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Description of the Driving Scene:
 
 1. **Traffic Lights:**
 - There are no visible traffic lights in the image.
 
 2. **Movements of Other Cars:**
 - The image shows a few cars parked along the sides of the road. There are no moving vehicles in the immediate vicinity of the car.
 - The car in front of the viewer is stationary, as indicated by the lack of motion blur or change in position.","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Pedestrians**: There is a pedestrian walking on the sidewalk on the right side of the image. Pedestrians are important to watch out for because they can suddenly cross the street, especially near crosswalks. This pedestrian is located near the sidewalk, which is a common area for pedestrians to cross.
 
 2. **Bicyclists**: There is a cyclist riding on the sidewalk on the right side of the image. Bicyclists are important to watch out for because they can be harder to see and may not always follow the","['human.pedestrian.adult', 'vehicle.bus.bendy', 'vehicle.car', 'vehicle.truck']",2,2,3,3,3,4
scene-0655,8,scene-0655_sample_8.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Description of the Driving Scene:
 
 1. **Traffic Lights:**
 - There are no visible traffic lights in the image.
 
 2. **Movements of Other Cars:**
 - A silver sedan is visible on the left side of the road, moving in the same direction as the viewer.
 - Another car is visible further down the road, also moving in the same direction.
 - A bus is visible further down the road, moving","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Pedestrian (Location: Crosswalk, near the center of the image)**:
 - **Description**: A pedestrian is crossing the street at a crosswalk. This is important because pedestrians have the right of way at crosswalks, and failing to yield can result in accidents.
 
 2. **Bus (Location: Midway down the road, on the right side)**:
 - **Description**: A bus is traveling on the road. Buses often have larger blind spots and may not see you if you are in their blind spot","['human.pedestrian.adult', 'movable_object.trafficcone', 'vehicle.bus.bendy', 'vehicle.car', 'vehicle.construction', 'vehicle.truck']",4,4,4,4,4,4
scene-0655,12,scene-0655_sample_12.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Description of the Driving Scene:
 
 1. **Traffic Lights:**
 - There are no visible traffic lights in the image.
 
 2. **Movements of Other Cars:**
 - A silver sedan is driving on the left side of the road, moving in the same direction as the viewer.
 - A bus is visible on the right side of the road, also moving in the same direction as the viewer.
 - There are no other","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Silver Car (Location: Left side of the image, near the crosswalk)**:
 - **Description**: The silver car is positioned near the crosswalk, which is an area where pedestrians are likely to be crossing. It is important to be aware of this car as it may be preparing to stop or yield to pedestrians.
 - **Why it's important**: Ensuring safety for pedestrians is crucial to avoid accidents and maintain smooth traffic flow.
 
 2. **Work Truck (Location: Center of the image, behind the silver car)**:","['human.pedestrian.adult', 'movable_object.trafficcone', 'vehicle.bus.bendy', 'vehicle.car', 'vehicle.construction', 'vehicle.truck']",4,3,3,4,3,4
scene-0655,16,scene-0655_sample_16.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's history. Here is the description:
 
 1. **Traffic Lights**: There are no visible traffic lights in the image.
 
 2. **Movements of Other Cars or Pedestrians**: There are no other cars or pedestrians visible in the image.
 
 3. **Lane Markings**: The road has clear lane markings, including a double yellow line in the center and solid white lines on the edges of the lanes. There are also dashed white lines indicating the edge of the road.
 
 4. **Other Relevant Information**: The image","In the driving scene, there are several road users that you should pay attention to:
 
 1. **White Work Truck with Crane (Location: Left side of the road, near the sidewalk)**:
 - **Description**: The truck is parked on the side of the road, and it appears to be a work truck with a crane attached. It is likely involved in some form of road or utility work.
 - **Importance**: Be cautious when approaching this vehicle as it may be in the process of performing work that could affect traffic flow or require additional space for maneuvering.
 
 2. **Bus (Location: Right side of the road","['human.pedestrian.adult', 'movable_object.trafficcone', 'vehicle.bus.bendy', 'vehicle.car', 'vehicle.construction', 'vehicle.truck']",4,2,3,2,3,4
scene-0757,0,scene-0757_sample_0.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's history. Here is the description:
 
 1. **Traffic Lights**: The traffic light in the image is showing a red light. This indicates that the vehicle should stop at the intersection.
 
 2. **Movements of Other Cars**:
 - There is a white bus in the intersection, positioned in the center of the road. It appears to be stationary, likely waiting for the traffic light to change.
 - There is a black SUV on the right side of the image, also waiting at the intersection. It is","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Bus (Location: Center of the image, moving towards the viewer)**:
 - **Description**: The bus is moving in the same direction as you are, and it is relatively large compared to other vehicles. It is important to monitor its speed and direction to ensure safe passing and merging.
 - **Why it's important**: The bus may require more space to maneuver and may have a longer stopping distance due to its size. It's crucial to maintain a safe distance and be prepared for any sudden braking or lane changes.
 
 2. **","['movable_object.trafficcone', 'vehicle.bus.rigid', 'vehicle.car', 'vehicle.construction']",2,3,4,3,4,3
scene-0757,4,scene-0757_sample_4.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Current Scene Description:
 
 1. **Traffic Lights:**
 - The traffic light in the image is showing a red light. This indicates that the car should stop at the intersection.
 
 2. **Other Vehicles:**
 - There is a silver car in front of the autonomous vehicle, which appears to be stopped at the intersection as well.
 - A double-decker bus is visible in the background, moving away from the intersection.
 -","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Bus (Location: Center of the image, slightly to the right)**: The bus is a significant road user in the scene. It is important to monitor its movements because it can block your view of the intersection and may require you to stop or yield to it. Buses often have large blind spots, so it's crucial to be aware of their position and direction.
 
 2. **Pedestrians (Location: Sidewalks and crosswalks)**: Although not explicitly visible in the image, it's important to be aware of","['movable_object.trafficcone', 'vehicle.bus.rigid', 'vehicle.car', 'vehicle.construction', 'vehicle.truck']",3,2,3,4,4,4
scene-0757,8,scene-0757_sample_8.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Current Scene:
 1. **Traffic Lights:**
 - The traffic light in the image is showing a red light. This indicates that the car should stop at the intersection.
 
 2. **Other Cars:**
 - There is a black sedan in front of the car, which appears to be stopped at the intersection as well.
 - A white bus is visible in the background, moving away from the intersection.
 
 3. **Pedestrians","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Black sedan (X: 300 Y: 200 Width: 100 Height: 100)**: This car is located in the intersection, directly in front of you. It is important to monitor its movements as it may change lanes or make a turn, potentially affecting your path.
 
 2. **White bus (X: 350 Y: 150 Width: 150 Height: 150)**: The bus is located on the left side of the intersection","['human.pedestrian.adult', 'movable_object.trafficcone', 'vehicle.bus.rigid', 'vehicle.car', 'vehicle.construction', 'vehicle.truck']",4,3,2,4,3,4
scene-0757,12,scene-0757_sample_12.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Description of the Driving Scene:
 
 1. **Traffic Lights:**
 - The traffic light in the image is showing a red light. This indicates that the vehicle should stop at the intersection.
 
 2. **Movements of Other Cars:**
 - A red Coca-Cola van is visible in the image. It appears to be moving forward, possibly preparing to turn or continue straight.
 - A white truck is also visible in the image. It","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Red Coca-Cola Van (Location: Left side of the image, moving towards the intersection)**:
 - **Description**: The red Coca-Cola van is moving towards the intersection. It is important to pay attention to this vehicle because it may turn or stop at the intersection, and you need to be prepared to react accordingly.
 
 2. **White Utility Truck (Location: Right side of the image, stopped at the intersection)**:
 - **Description**: The white utility truck is stopped at the intersection. It is crucial to be aware of this","['movable_object.trafficcone', 'vehicle.bicycle', 'vehicle.bus.rigid', 'vehicle.car', 'vehicle.construction', 'vehicle.truck']",4,3,3,4,4,4
scene-0757,16,scene-0757_sample_16.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Current Scene Description:
 
 1. **Traffic Lights:**
 - The traffic light in the image is showing a red light for the direction the car is facing. This indicates that the car should stop at the intersection.
 
 2. **Other Vehicles:**
 - There is a white car in front of the car, which appears to be stationary.
 - A maroon SUV is also present in the intersection, positioned to the right of the white","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Bicyclist (Location: Right side of the image, near the curb)**:
 - **Description**: The bicyclist is riding on the right side of the image, near the curb. They are wearing a helmet and appear to be moving at a moderate speed.
 - **Importance**: Bicyclists are vulnerable road users, and it is crucial to maintain a safe distance from them to avoid collisions. You should be aware of their presence and adjust your speed accordingly to ensure their safety.
 
 2. **Pedestrians (","['human.pedestrian.adult', 'movable_object.trafficcone', 'vehicle.bicycle', 'vehicle.bus.rigid', 'vehicle.car', 'vehicle.construction', 'vehicle.truck']",4,2,4,4,4,4
scene-0796,0,scene-0796_sample_0.json,"As a autonomous driving labeller, I am observing the following details from the front-view camera images:
 
 1. **Traffic Lights**: The traffic lights are not visible in the current image, but they are likely present further down the road.
 
 2. **Movements of Other Cars**:
 - There are several cars visible on the road. Some are moving in the same direction as the viewer, while others are moving in the opposite direction.
 - The cars are maintaining a safe distance from each other, adhering to traffic rules.
 
 3. **Pedestrians**:
 - There are no pedestrians visible in the current image.
 
 4","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Motorcycle rider**:
 - **Location**: On the left side of the image, near the center of the road.
 - **Description**: The motorcycle rider is moving in the same direction as the car. It is important to pay attention to this rider because motorcycles can be harder to see and are more vulnerable to accidents. You should maintain a safe distance and be prepared to react quickly if the motorcycle changes lanes or makes a sudden move.
 
 2. **Pedestrian**:
 - **Location**: On the left side of the","['human.pedestrian.adult', 'vehicle.bus.rigid', 'vehicle.car', 'vehicle.motorcycle', 'vehicle.truck']",3,2,3,3,4,4
scene-0796,4,scene-0796_sample_4.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided images and the information from the previous 5 seconds. Here is the description:
 
 1. **Traffic Lights**: The traffic lights are not visible in the provided images, so I cannot describe their status.
 
 2. **Movements of Other Cars**:
 - There are several cars on the road. The cars are moving in the same direction as the viewer's car.
 - The cars are maintaining a safe distance from each other, indicating normal traffic flow.
 
 3. **Pedestrians**: There are no pedestrians visible in the images.
 
 4. **","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Pedestrians**: There is a pedestrian on the sidewalk to the left of the image, near the ""SIT@Dover"" sign. Pedestrians are important to watch out for as they can suddenly cross the road, especially near intersections.
 
 2. **Other Vehicles**: There are several vehicles on the road, including a silver SUV on the right side of the image and a few cars in the distance. It's important to monitor these vehicles to ensure safe lane changes and to anticipate their movements.
 
 3. **Traffic Lights**: Although","['human.pedestrian.adult', 'vehicle.bus.rigid', 'vehicle.car', 'vehicle.motorcycle', 'vehicle.truck']",3,3,3,3,4,4
